Temperature,Luminosity,Humidity,Time
73.40,94.13,51.90,20:09:10.651000
73.40,100.00,51.90,20:09:11.942766
73.40,100.00,51.90,20:09:12.959682
73.40,100.00,51.90,20:09:14.251172
73.40,100.00,51.90,20:09:15.268111
73.40,100.00,51.90,20:09:16.560174
73.40,100.00,51.90,20:09:17.577202
73.40,100.00,51.90,20:09:18.869177
73.40,55.43,51.90,20:09:19.886149
73.40,100.00,52.80,20:09:21.177241
73.40,100.00,52.80,20:09:22.194224
73.40,100.00,54.30,20:09:23.485378
73.40,100.00,54.30,20:09:24.502315
73.40,100.00,55.90,20:09:25.794443
73.40,100.00,55.90,20:09:26.811415
